CAS,InChIKey,Score
"112-84-5","UAUDZVJPLUQNMU-KTKRTIGZSA-N","0"
"112-88-9","CCCMONHAUSKTEQ-UHFFFAOYSA-N","1"
"112-90-3","QGLWBTPVKHMVHM-KTKRTIGZSA-N","0"
"112-90-3","QGLWBTPVKHMVHM-KTKRTIGZSA-N","0"
"112-91-4","UIAMCVSNZQYIQS-KTKRTIGZSA-N","0"
"112-91-4","UIAMCVSNZQYIQS-KTKRTIGZSA-N","0"
"1120-36-1","HFDVRLIODXPAHB-UHFFFAOYSA-N","0"
"1120-36-1","HFDVRLIODXPAHB-UHFFFAOYSA-N","0"
"113706-14-2","LPEQNMKNSKSCGZ-UHFFFAOYSA-N","0"
"115-07-1","QQONPFPTGQHPMA-UHFFFAOYSA-N","1"
"115-07-1","QQONPFPTGQHPMA-UHFFFAOYSA-N","1"
"115-11-7","VQTUBCCKSQIDNK-UHFFFAOYSA-N","0"
"115-11-7","VQTUBCCKSQIDNK-UHFFFAOYSA-N","0"
"115-27-5","FLBJFXNAEMSXGL-UHFFFAOYSA-N","0"
"115-83-3","OCKWAZCWKSMKNC-UHFFFAOYSA-N","0"
"115-95-7","UWKAYLJWKGQEPM-LBPRGKRZSA-N","1"
"115733-08-9","No result","N/A"
"117-08-8","AUHHYELHRWCWEZ-UHFFFAOYSA-N","0"
"117-81-7","BJQHLKABXJIVAM-UHFFFAOYSA-N","1"
"117-84-0","MQIUGAXCHLFZKX-UHFFFAOYSA-N","1"
"118-58-1","ZCTQGTTXIYCGGC-UHFFFAOYSA-N","0"
"119-06-2","YCZJVRCZIPDYHH-UHFFFAOYSA-N","0"
"119-36-8","OSWPMRLSEDHDFF-UHFFFAOYSA-N","1"
"119345-03-8","No result","N/A"
"119345-04-9","No result","N/A"
"120-40-1","AOMUHOFOVNGZAN-UHFFFAOYSA-N","0"
"120-51-4","SESFRYSPDFLNCH-UHFFFAOYSA-N","1"
"120-56-9","AHSGHEXYEABOKT-UHFFFAOYSA-N","0"
"120-78-5","AFZSMODLJJCVPP-UHFFFAOYSA-N","0"
"120-95-6","WMVJWKURWRGJCI-UHFFFAOYSA-N","0"
"12001-85-3","DPQXAUXLLDWUMQ-UHFFFAOYSA-L","0"
"121-33-5","MWOOGOJBHIARFG-UHFFFAOYSA-N","1"
"121-45-9","WVLBCYQITXONBZ-UHFFFAOYSA-N","0"
"121-57-3","HVBSAKJJOYLTQU-UHFFFAOYSA-N","1"
"121-69-7","JLTDJTHDQAWBAV-UHFFFAOYSA-N","1"
