"","accession","omimid"
"360","HMDB0000094",261600
"361","HMDB0000094",248600
"362","HMDB0000094",610247
"363","HMDB0000094",114500
"364","HMDB0000094",248250
"365","HMDB0000094",607196
"366","HMDB0000094",220500
"367","HMDB0000095",114500
"368","HMDB0000095",104300
"369","HMDB0000095",600274
"370","HMDB0000097",182940
"371","HMDB0000097",104300
"372","HMDB0000097",266600
"373","HMDB0000097",180300
"374","HMDB0000097",114500
"375","HMDB0000097",260350
"376","HMDB0000097",170650
"377","HMDB0000097",600274
"378","HMDB0000097",211980
"379","HMDB0000097",610247
"380","HMDB0000098",266600
"381","HMDB0000098",114500
"382","HMDB0000098",211980
"383","HMDB0000098",610247
"384","HMDB0000099",104300
"385","HMDB0000099",209850
"386","HMDB0000099",613752
"387","HMDB0000099",266600
"388","HMDB0000099",219500
"389","HMDB0000099",610247
"390","HMDB0000101",102700
"391","HMDB0000101",103050
"392","HMDB0000101",114500
"393","HMDB0000101",610247
"394","HMDB0000107",104300
"395","HMDB0000108",209850
"396","HMDB0000108",601313
"397","HMDB0000108",212750
"398","HMDB0000108",266600
"399","HMDB0000108",211980
"400","HMDB0000108",610247
"401","HMDB0000112",104300
"402","HMDB0000112",613163
"403","HMDB0000112",604352
"404","HMDB0000112",266100
"405","HMDB0000112",149400
"406","HMDB0000112",114500
"407","HMDB0000112",266600
"408","HMDB0000112",260350
"409","HMDB0000112",170650
"410","HMDB0000112",600274
"411","HMDB0000112",237400
"412","HMDB0000112",222100
"413","HMDB0000112",610247
"414","HMDB0000115",614923
"415","HMDB0000115",114500
"416","HMDB0000115",211980
"417","HMDB0000115",210500
"418","HMDB0000115",610247
"419","HMDB0000115",181500
"420","HMDB0000115",606812
"421","HMDB0000115",600721
"422","HMDB0000115",259900
"423","HMDB0000115",231680
"424","HMDB0000118",161400
"425","HMDB0000118",139250
"426","HMDB0000118",181500
"427","HMDB0000118",167870
"428","HMDB0000118",182601
"429","HMDB0000118",209850
"430","HMDB0000118",168600
"431","HMDB0000118",229300
"432","HMDB0000118",608516
"433","HMDB0000118",608643
"434","HMDB0000118",212750
"435","HMDB0000118",182125
"436","HMDB0000118",610090
"437","HMDB0000118",276880
"438","HMDB0000118",610247
"439","HMDB0000118",261600
"440","HMDB0000118",300615
"441","HMDB0000121",180300
"442","HMDB0000121",229050
"443","HMDB0000121",605850
"444","HMDB0000121",104300
"445","HMDB0000122",139250
"446","HMDB0000122",602439
"447","HMDB0000122",238600
"448","HMDB0000122",210200
"449","HMDB0000122",240200
"450","HMDB0000122",248250
"451","HMDB0000122",246450
"452","HMDB0000122",605911
"453","HMDB0000122",610006
"454","HMDB0000122",201910
"455","HMDB0000122",231530
"456","HMDB0000122",300438
"457","HMDB0000122",613743
"458","HMDB0000122",201810
"459","HMDB0000122",608594
"460","HMDB0000122",603376
"461","HMDB0000122",616483
"462","HMDB0000122",261680
"463","HMDB0000122",229700
"464","HMDB0000122",240800
"465","HMDB0000122",256000
"466","HMDB0000122",616878
"467","HMDB0000122",246200
"468","HMDB0000122",614962
"469","HMDB0000122",600955
"470","HMDB0000122",125851
"471","HMDB0000122",256450
"472","HMDB0000122",609015
"473","HMDB0000122",255120
"474","HMDB0000122",212140
"475","HMDB0000122",520000
"476","HMDB0000122",130650
"477","HMDB0000122",608600
"478","HMDB0000122",227810
"479","HMDB0000122",226980
"480","HMDB0000122",104300
"481","HMDB0000122",606777
"482","HMDB0000122",114500
"483","HMDB0000122",125853
"484","HMDB0000122",222100
"485","HMDB0000122",610247
"486","HMDB0000122",181500
"487","HMDB0000123",605899
"488","HMDB0000123",606904
"489","HMDB0000123",104300
"490","HMDB0000123",210200
"491","HMDB0000123",268900
"492","HMDB0000123",608300
"493","HMDB0000123",235800
"494","HMDB0000123",601665
"495","HMDB0000123",256520
"496","HMDB0000123",614462
"497","HMDB0000123",610090
"498","HMDB0000123",616299
"499","HMDB0000123",610992
"500","HMDB0000123",614023
"501","HMDB0000123",181500
"502","HMDB0000123",601815
"503","HMDB0000123",617290
"504","HMDB0000123",114500
"505","HMDB0000123",209850
"506","HMDB0000123",266600
"507","HMDB0000123",138900
"508","HMDB0000123",260350
"509","HMDB0000123",170650
"510","HMDB0000123",600274
"511","HMDB0000123",211980
"512","HMDB0000123",237300
"513","HMDB0000123",242600
"514","HMDB0000123",601313
"515","HMDB0000123",207900
"516","HMDB0000123",606054
"517","HMDB0000123",276700
"518","HMDB0000123",261600
"519","HMDB0000123",248600
"520","HMDB0000123",610247
"521","HMDB0000123",138070
"522","HMDB0000124",104300
"523","HMDB0000124",600274
"524","HMDB0000125",271900
"525","HMDB0000125",181500
"526","HMDB0000125",231950
"527","HMDB0000125",126200
"528","HMDB0000126",114500
"529","HMDB0000126",104300
"530","HMDB0000126",600274
"531","HMDB0000128",612736
"532","HMDB0000128",612718
"533","HMDB0000128",300352
"534","HMDB0000128",266600
"535","HMDB0000128",610247
"536","HMDB0000128",181500
"537","HMDB0000130",266600
"538","HMDB0000130",203500
"539","HMDB0000130",610247
"540","HMDB0000131",307030
"541","HMDB0000131",125853
"542","HMDB0000131",181500
"543","HMDB0000131",266600
"544","HMDB0000131",114500
"545","HMDB0000131",610247
"546","HMDB0000132",104300
"547","HMDB0000132",114500
"548","HMDB0000132",600274
"549","HMDB0000132",300322
"550","HMDB0000133",114500
"551","HMDB0000133",266600
"552","HMDB0000133",164050
"553","HMDB0000133",610247
"554","HMDB0000134",114500
"555","HMDB0000134",104300
"556","HMDB0000134",180300
"557","HMDB0000134",211980
"558","HMDB0000134",610247
"559","HMDB0000134",606812
"560","HMDB0000134",203740
"561","HMDB0000134",607196
"562","HMDB0000134",616299
"563","HMDB0000138",212750
"564","HMDB0000138",210500
"565","HMDB0000138",107400
"566","HMDB0000138",219700
"567","HMDB0000138",230400
"568","HMDB0000138",277900
"569","HMDB0000138",114500
"570","HMDB0000138",266600
"571","HMDB0000139",181500
"572","HMDB0000139",114500
"573","HMDB0000139",266600
"574","HMDB0000139",259900
"575","HMDB0000139",260000
"576","HMDB0000139",610247
"577","HMDB0000139",605899
"578","HMDB0000140",200100
"579","HMDB0000142",260350
"580","HMDB0000142",180300
"581","HMDB0000142",211980
"582","HMDB0000142",222100
"583","HMDB0000142",601313
"584","HMDB0000142",610247
"585","HMDB0000143",230400
"586","HMDB0000143",230400
"587","HMDB0000143",601466
"588","HMDB0000143",114500
"589","HMDB0000143",610247
"590","HMDB0000145",613546
"591","HMDB0000145",308100
"592","HMDB0000148",181500
"593","HMDB0000148",104300
"594","HMDB0000148",137215
"595","HMDB0000148",608300
"596","HMDB0000148",222730
"597","HMDB0000148",616299
"598","HMDB0000148",312750
"599","HMDB0000148",114500
