"","accession","keggmap"
"643","T3D4296","map00260"
"644","T3D4296","map00910"
"645","T3D4296","map00270"
"646","T3D4296","map00480"
"647","T3D4296","map00330"
"648","T3D4296","map00340"
"649","T3D4296","map00520"
"650","T3D4296","map00670"
"651","T3D4296","map00250"
"653","T3D4298","map00380"
"654","T3D4300","map00350"
"656","T3D4304","map00640"
"657","T3D4307","map00620"
"658","T3D4310","map00250"
"659","T3D4314","map00100"
"660","T3D4314","map00140"
"661","T3D4318","map00260"
"662","T3D4318","map00910"
"663","T3D4318","map00480"
"664","T3D4318","map00860"
"665","T3D4318","map00270"
"666","T3D4318","map00250"
"667","T3D4319","map00910"
"668","T3D4319","map00520"
"669","T3D4319","map00240"
"670","T3D4319","map00230"
"671","T3D4319","map00250"
"672","T3D4319","map00360"
"673","T3D4320","map00260"
"674","T3D4320","map00450"
"675","T3D4320","map00250"
"676","T3D4322","map00860"
"677","T3D4323","map00860"
"678","T3D4325","map00260"
"679","T3D4325","map00910"
"680","T3D4325","map00270"
"681","T3D4325","map00520"
"682","T3D4325","map00250"
"683","T3D4325","map00020"
"684","T3D4325","map00620"
"685","T3D4328","map00260"
"686","T3D4328","map00270"
"688","T3D4329","map00260"
"689","T3D4329","map00330"
"690","T3D4330","map00260"
"691","T3D4330","map00561"
"692","T3D4332","map00240"
"693","T3D4345","map00052"
"694","T3D4345","map00520"
"695","T3D4345","map00500"
"696","T3D4345","map00051"
"697","T3D4346","map00410"
"698","T3D4346","map00640"
"699","T3D4346","map00240"
"700","T3D4346","map00250"
"701","T3D4349","map00052"
"702","T3D4350","map00860"
"703","T3D4352","map00480"
"704","T3D4352","map00250"
"705","T3D4352","map00590"
"706","T3D4356","map00052"
"707","T3D4360","map00561"
"708","T3D4360","map00052"
"709","T3D4362","map00910"
"710","T3D4362","map00250"
"711","T3D4363","map00910"
"712","T3D4363","map00340"
"713","T3D4364","map00280"
"714","T3D4365","map00280"
"715","T3D4366","map00360"
"716","T3D4367","map00260"
"717","T3D4367","map00910"
"718","T3D4367","map00270"
"719","T3D4367","map00600"
"720","T3D4368","map00260"
"721","T3D4369","map00380"
"722","T3D4370","map00640"
"723","T3D4370","map00280"
"724","T3D4371","map00350"
"725","T3D4371","map00360"
"727","T3D4398","map00310"
"728","T3D4404","map00640"
"729","T3D4404","map00280"
"730","T3D4409","map00230"
"731","T3D4411","map00330"
"732","T3D4424","map00280"
"733","T3D4425","map00280"
"734","T3D4426","map00280"
"735","T3D4430","map00240"
"736","T3D4434","map00920"
"737","T3D4434","map04210"
"738","T3D4435","map00350"
"739","T3D4438","map00860"
"740","T3D4440","map00860"
"741","T3D4444","map00640"
"742","T3D4447","map00640"
"743","T3D4447","map00280"
"744","T3D4453","map00350"
"745","T3D4453","map00750"
"746","T3D4453","map00030"
"747","T3D4453","map00340"
"748","T3D4453","map00020"
"749","T3D4453","map00250"
"750","T3D4453","map00190"
"751","T3D4453","map00650"
"752","T3D4453","map04614"
"753","T3D4453","map04911"
"754","T3D4453","map04976"
"756","T3D4453","map04110"
"757","T3D4453","map04210"
"758","T3D4455","map00260"
"759","T3D4455","map00270"
"761","T3D4456","map00260"
"762","T3D4456","map00350"
"763","T3D4456","map00270"
"765","T3D4458","map00260"
"766","T3D4481","map04110"
"767","T3D4483","map03440"
"768","T3D4483","map04210"
"769","T3D4485","map04110"
"770","T3D4485","map00565"
"771","T3D4485","map04210"
"772","T3D4487","map04110"
"773","T3D4492","map00100"
"774","T3D4492","map00830"
"775","T3D4492","map04110"
"776","T3D4492","map02010"
"777","T3D4494","map04110"
"778","T3D4495","map02010"
"779","T3D4500","map00190"
"780","T3D4500","map04110"
"781","T3D4500","map04710"
"782","T3D4505","map00100"
"783","T3D4505","map02010"
"784","T3D4507","map00480"
"785","T3D4509","map04110"
"786","T3D4509","map02010"
"787","T3D4509","map04710"
"788","T3D4509","map04010"
"789","T3D4509","map04210"
"790","T3D4514","map00100"
"791","T3D4514","map00830"
"792","T3D4520","map04110"
"793","T3D4520","map03410"
"794","T3D4520","map04210"
"795","T3D4522","map04144"
"796","T3D4522","map04110"
"797","T3D4522","map03030"
"798","T3D4524","map04110"
"799","T3D4524","map04210"
"800","T3D4528","map04210"
"801","T3D4530","map04110"
"802","T3D4542","map00190"
"803","T3D4542","map04210"
"804","T3D4543","map04110"
"805","T3D4543","map04210"
"806","T3D4546","map02010"
"807","T3D4547","map02010"
"808","T3D4548","map04110"
"809","T3D4549","map00100"
"810","T3D4549","map00830"
"811","T3D4627","map04210"
"812","T3D4630","map03420"
"813","T3D4630","map04110"
"814","T3D4630","map03030"
"815","T3D4630","map03410"
"816","T3D4630","map03020"
"817","T3D4636","map04110"
"818","T3D4636","map04210"
"819","T3D4637","map00590"
"820","T3D4637","map04614"
"821","T3D4637","map00510"
"822","T3D4637","map00190"
"823","T3D4637","map04144"
"824","T3D4637","map03440"
"825","T3D4637","map03460"
"826","T3D4637","map04110"
"827","T3D4637","map04210"
"828","T3D4660","map00190"
"829","T3D4661","map04971"
"830","T3D4661","map00190"
"831","T3D4661","map04210"
"832","T3D4666","map00590"
"833","T3D4666","map04614"
