"","accession","categories"
"282","T3D0069","SyntheticToxin"
"283","T3D0070","Industrial/WorkplaceToxin"
"284","T3D0070","Pollutant"
"285","T3D0070","FoodToxin"
"286","T3D0070","NaturalToxin"
"287","T3D0071","HouseholdToxin"
"288","T3D0071","Industrial/WorkplaceToxin"
"289","T3D0071","Pollutant"
"290","T3D0071","AirbornePollutant"
"291","T3D0071","FoodToxin"
"292","T3D0071","NaturalToxin"
"293","T3D0072","Industrial/WorkplaceToxin"
"294","T3D0072","FoodToxin"
"295","T3D0072","NaturalToxin"
"296","T3D0073","Industrial/WorkplaceToxin"
"297","T3D0073","Pollutant"
"298","T3D0073","AirbornePollutant"
"299","T3D0073","SyntheticToxin"
"300","T3D0074","Drug"
"301","T3D0074","HouseholdToxin"
"302","T3D0074","Industrial/WorkplaceToxin"
"303","T3D0074","Pollutant"
"304","T3D0074","FoodToxin"
"305","T3D0074","NaturalToxin"
"306","T3D0075","Pesticide"
"307","T3D0075","HouseholdToxin"
"308","T3D0075","Industrial/WorkplaceToxin"
"309","T3D0075","FoodToxin"
"310","T3D0075","SyntheticToxin"
"311","T3D0076","HouseholdToxin"
"312","T3D0076","Industrial/WorkplaceToxin"
"313","T3D0076","Pollutant"
"314","T3D0076","AirbornePollutant"
"315","T3D0076","FoodToxin"
"316","T3D0076","SyntheticToxin"
"317","T3D0077","CigaretteToxin"
"318","T3D0077","HouseholdToxin"
"319","T3D0077","Industrial/WorkplaceToxin"
"320","T3D0077","Pollutant"
"321","T3D0077","AirbornePollutant"
"322","T3D0077","FoodToxin"
"323","T3D0077","NaturalToxin"
"324","T3D0078","HouseholdToxin"
"325","T3D0078","Industrial/WorkplaceToxin"
"326","T3D0078","Pollutant"
"327","T3D0078","AirbornePollutant"
"328","T3D0078","FoodToxin"
"329","T3D0078","NaturalToxin"
"330","T3D0079","Industrial/WorkplaceToxin"
"331","T3D0079","Pollutant"
"332","T3D0079","AirbornePollutant"
"333","T3D0079","SyntheticToxin"
"334","T3D0080","Pesticide"
"335","T3D0080","HouseholdToxin"
"336","T3D0080","Industrial/WorkplaceToxin"
"337","T3D0080","Pollutant"
"338","T3D0080","AirbornePollutant"
"339","T3D0080","FoodToxin"
"340","T3D0080","SyntheticToxin"
"341","T3D0082","Industrial/WorkplaceToxin"
"342","T3D0082","FoodToxin"
"343","T3D0082","SyntheticToxin"
"344","T3D0084","CigaretteToxin"
"345","T3D0084","Industrial/WorkplaceToxin"
"346","T3D0084","Pollutant"
"347","T3D0084","AirbornePollutant"
"348","T3D0084","FoodToxin"
"349","T3D0084","SyntheticToxin"
"350","T3D0085","Industrial/WorkplaceToxin"
"351","T3D0085","Pollutant"
"352","T3D0085","AirbornePollutant"
"353","T3D0085","FoodToxin"
"354","T3D0085","SyntheticToxin"
"355","T3D0086","Pesticide"
"356","T3D0086","Pollutant"
"357","T3D0086","AirbornePollutant"
"358","T3D0086","SyntheticToxin"
"359","T3D0087","Pesticide"
"360","T3D0087","Industrial/WorkplaceToxin"
"361","T3D0087","Pollutant"
"362","T3D0087","AirbornePollutant"
"363","T3D0087","FoodToxin"
"364","T3D0087","SyntheticToxin"
"365","T3D0088","Pesticide"
"366","T3D0088","Industrial/WorkplaceToxin"
"367","T3D0088","Pollutant"
"368","T3D0088","AirbornePollutant"
"369","T3D0088","SyntheticToxin"
"370","T3D0089","Industrial/WorkplaceToxin"
"371","T3D0089","Pollutant"
"372","T3D0089","AirbornePollutant"
"373","T3D0089","FoodToxin"
"374","T3D0089","NaturalToxin"
"375","T3D0089","PlantToxin"
"376","T3D0091","HouseholdToxin"
"377","T3D0091","Industrial/WorkplaceToxin"
"378","T3D0091","Pollutant"
"379","T3D0091","AirbornePollutant"
"380","T3D0091","FoodToxin"
"381","T3D0091","NaturalToxin"
"382","T3D0092","Industrial/WorkplaceToxin"
"383","T3D0092","SyntheticToxin"
"384","T3D0093","Pesticide"
"385","T3D0093","Pollutant"
"386","T3D0093","AirbornePollutant"
"387","T3D0093","FoodToxin"
"388","T3D0093","SyntheticToxin"
"389","T3D0094","Industrial/WorkplaceToxin"
"390","T3D0094","Pollutant"
"391","T3D0094","AirbornePollutant"
"392","T3D0094","SyntheticToxin"
"393","T3D0096","Pesticide"
"394","T3D0096","Industrial/WorkplaceToxin"
"395","T3D0096","SyntheticToxin"
"396","T3D0097","HouseholdToxin"
"397","T3D0097","Industrial/WorkplaceToxin"
"398","T3D0097","Pollutant"
"399","T3D0097","AirbornePollutant"
"400","T3D0097","FoodToxin"
"401","T3D0097","SyntheticToxin"
"402","T3D0099","CigaretteToxin"
"403","T3D0099","HouseholdToxin"
"404","T3D0099","Industrial/WorkplaceToxin"
"405","T3D0099","Pollutant"
"406","T3D0099","AirbornePollutant"
"407","T3D0099","FoodToxin"
"408","T3D0099","SyntheticToxin"
"409","T3D0100","Industrial/WorkplaceToxin"
"410","T3D0100","Pollutant"
"411","T3D0100","AirbornePollutant"
"412","T3D0100","NaturalToxin"
"413","T3D0101","Industrial/WorkplaceToxin"
"414","T3D0101","Pollutant"
"415","T3D0101","AirbornePollutant"
"416","T3D0101","FoodToxin"
"417","T3D0101","NaturalToxin"
"418","T3D0102","Pesticide"
"419","T3D0102","Pollutant"
"420","T3D0102","AirbornePollutant"
"421","T3D0102","SyntheticToxin"
"422","T3D0103","Industrial/WorkplaceToxin"
"423","T3D0103","SyntheticToxin"
"424","T3D0104","Pesticide"
"425","T3D0104","HouseholdToxin"
"426","T3D0104","Industrial/WorkplaceToxin"
"427","T3D0104","Pollutant"
"428","T3D0104","AirbornePollutant"
"429","T3D0104","SyntheticToxin"
"430","T3D0105","CigaretteToxin"
"431","T3D0105","Pollutant"
"432","T3D0105","AirbornePollutant"
"433","T3D0105","NaturalToxin"
"434","T3D0106","Industrial/WorkplaceToxin"
"435","T3D0106","Pollutant"
"436","T3D0106","AirbornePollutant"
"437","T3D0106","NaturalToxin"
"438","T3D0107","Industrial/WorkplaceToxin"
"439","T3D0107","Pollutant"
"440","T3D0107","AirbornePollutant"
"441","T3D0107","NaturalToxin"
"442","T3D0108","Industrial/WorkplaceToxin"
"443","T3D0108","Pollutant"
"444","T3D0108","AirbornePollutant"
"445","T3D0108","NaturalToxin"
"446","T3D0109","Industrial/WorkplaceToxin"
"447","T3D0109","FoodToxin"
"448","T3D0109","NaturalToxin"
"449","T3D0110","Industrial/WorkplaceToxin"
"450","T3D0110","Pollutant"
"451","T3D0110","FoodToxin"
"452","T3D0110","NaturalToxin"
"453","T3D0111","Industrial/WorkplaceToxin"
"454","T3D0111","Pollutant"
"455","T3D0111","AirbornePollutant"
"456","T3D0111","NaturalToxin"
"457","T3D0112","CigaretteToxin"
"458","T3D0112","Industrial/WorkplaceToxin"
"459","T3D0112","Pollutant"
"460","T3D0112","SyntheticToxin"
"461","T3D0113","Industrial/WorkplaceToxin"
"462","T3D0113","Pollutant"
"463","T3D0113","AirbornePollutant"
"464","T3D0113","NaturalToxin"
"465","T3D0114","Industrial/WorkplaceToxin"
"466","T3D0114","Pollutant"
"467","T3D0114","AirbornePollutant"
"468","T3D0114","NaturalToxin"
"469","T3D0115","Pesticide"
"470","T3D0115","Pollutant"
"471","T3D0115","AirbornePollutant"
