"","accession","smpdb"
"320","T3D4253","SMP00574"
"321","T3D4257","SMP00037"
"322","T3D4257","SMP00719"
"323","T3D4258","SMP00719"
"324","T3D4259","SMP00037"
"325","T3D4259","SMP00719"
"326","T3D4262","SMP00138"
"327","T3D4263","SMP00138"
"328","T3D4263","SMP00139"
"329","T3D4263","SMP00174"
"330","T3D4263","SMP00238"
"331","T3D4265","SMP00138"
"332","T3D4265","SMP00139"
"333","T3D4265","SMP00140"
"334","T3D4265","SMP00141"
"335","T3D4265","SMP00188"
"336","T3D4269","SMP00243"
"337","T3D4270","SMP00015"
"338","T3D4270","SMP00143"
"339","T3D4270","SMP00190"
"340","T3D4270","SMP00236"
"341","T3D4270","SMP00337"
"342","T3D4270","SMP00500"
"343","T3D4273","SMP00004"
"344","T3D4273","SMP00024"
"345","T3D4273","SMP00342"
"346","T3D4273","SMP00344"
"347","T3D4273","SMP00346"
"348","T3D4274","SMP00024"
"349","T3D4274","SMP00342"
"350","T3D4274","SMP00344"
"351","T3D4274","SMP00346"
"352","T3D4275","SMP00050"
"353","T3D4275","SMP00144"
"354","T3D4276","SMP00004"
"355","T3D4276","SMP00009"
"356","T3D4276","SMP00019"
"357","T3D4276","SMP00033"
"358","T3D4276","SMP00039"
"359","T3D4276","SMP00040"
"360","T3D4276","SMP00044"
"361","T3D4276","SMP00045"
"362","T3D4276","SMP00050"
"363","T3D4276","SMP00053"
"364","T3D4276","SMP00057"
"365","T3D4276","SMP00059"
"366","T3D4276","SMP00128"
"367","T3D4276","SMP00144"
"368","T3D4276","SMP00355"
"369","T3D4276","SMP00444"
"370","T3D4276","SMP00445"
"371","T3D4276","SMP00449"
"372","T3D4276","SMP00450"
"373","T3D4276","SMP00452"
"374","T3D4276","SMP00457"
"375","T3D4276","SMP00462"
"376","T3D4276","SMP00463"
"377","T3D4276","SMP00466"
"378","T3D4276","SMP00467"
"379","T3D4276","SMP00477"
"380","T3D4276","SMP00480"
"381","T3D4276","SMP00481"
"382","T3D4276","SMP00482"
"383","T3D4278","SMP00050"
"384","T3D4278","SMP00144"
"385","T3D4279","SMP00050"
"386","T3D4279","SMP00144"
"387","T3D4281","SMP00050"
"388","T3D4281","SMP00167"
"389","T3D4282","SMP00068"
"390","T3D4282","SMP00130"
"391","T3D4282","SMP00373"
"392","T3D4283","SMP00068"
"393","T3D4283","SMP00373"
"394","T3D4283","SMP00565"
"395","T3D4284","SMP00130"
"396","T3D4284","SMP00372"
"397","T3D4284","SMP00577"
"398","T3D4284","SMP00578"
"399","T3D4286","SMP00052"
"400","T3D4286","SMP00516"
"401","T3D4287","SMP00006"
"402","T3D4287","SMP00008"
"403","T3D4287","SMP00169"
"404","T3D4289","SMP00003"
"405","T3D4289","SMP00004"
"406","T3D4289","SMP00019"
"407","T3D4289","SMP00020"
"408","T3D4289","SMP00059"
"409","T3D4289","SMP00197"
"410","T3D4289","SMP00357"
"411","T3D4289","SMP00505"
"412","T3D4290","SMP00004"
"413","T3D4290","SMP00020"
"414","T3D4290","SMP00357"
"415","T3D4292","SMP00001"
"416","T3D4292","SMP00046"
"417","T3D4292","SMP00210"
"418","T3D4292","SMP00219"
"419","T3D4292","SMP00357"
"420","T3D4294","SMP00003"
"421","T3D4294","SMP00020"
"422","T3D4294","SMP00059"
"423","T3D4294","SMP00067"
"424","T3D4294","SMP00357"
"425","T3D4295","SMP00001"
"426","T3D4295","SMP00003"
"427","T3D4295","SMP00020"
"428","T3D4295","SMP00059"
"429","T3D4295","SMP00067"
"430","T3D4295","SMP00239"
"431","T3D4295","SMP00350"
"432","T3D4296","SMP00003"
"433","T3D4296","SMP00004"
"434","T3D4296","SMP00009"
"435","T3D4296","SMP00013"
"436","T3D4296","SMP00015"
"437","T3D4296","SMP00019"
"438","T3D4296","SMP00020"
"439","T3D4296","SMP00044"
"440","T3D4296","SMP00045"
"441","T3D4296","SMP00053"
